Date,HomeTeam,AwayTeam,FTHG,FTAG,AvgH,AvgD,AvgA,Season
2026-06-27,Geraldton Buccaneers,Perth Redbacks,118,86,1.02,,10.43,current
2026-06-26,Lakeside Lightning,Willetton Tigers,89,95,2.27,,1.58,current
2026-06-26,Rockingham Flames,South West Slammers,101,78,1.00,,13.61,current
2026-06-21,Mandurah Magic,Goldfields Giants,98,94,1.45,,2.59,current
2026-06-21,Rockingham Flames,Geraldton Buccaneers,92,75,1.62,,2.17,current
2026-06-20,East Perth Eagles,Rockingham Flames,92,109,7.08,,1.06,current
2026-06-20,Joondalup Wolves,Perth Redbacks,107,94,1.06,,6.92,current
2026-06-20,Kalamunda Eastern Suns,Geraldton Buccaneers,95,103,3.61,,1.24,current
2026-06-20,South West Slammers,Goldfields Giants,87,104,2.84,,1.37,current
2026-06-20,Willetton Tigers,Beeliar Boodjar,84,103,2.34,,1.54,current
2026-06-19,Beeliar Boodjar,Lakeside Lightning,103,90,1.18,,4.13,current
2026-06-19,Perry Lakes Hawks,Willetton Tigers,111,108,1.76,,1.95,current
2026-06-19,Warwick Senators,Kalamunda Eastern Suns,99,120,1.53,,2.35,current
2026-06-13,Geraldton Buccaneers,Joondalup Wolves,108,90,1.47,,2.56,current
2026-06-13,Goldfields Giants,Warwick Senators,85,95,3.01,,1.34,current
2026-06-13,Lakeside Lightning,Perth Redbacks,91,87,1.52,,2.38,current
2026-06-13,Perry Lakes Hawks,Mandurah Magic,109,90,1.82,,1.94,current
2026-06-13,South West Slammers,East Perth Eagles,71,77,5.85,,1.10,current
2026-06-12,Beeliar Boodjar,Rockingham Flames,89,108,3.09,,1.33,current
2026-06-12,Perth Redbacks,Kalamunda Eastern Suns,82,99,2.34,,1.55,current
2026-06-12,Willetton Tigers,Lakeside Lightning,72,79,1.37,,2.86,current
2026-06-06,Goldfields Giants,Beeliar Boodjar,82,91,5.62,,1.11,current
2026-06-06,Kalamunda Eastern Suns,Joondalup Wolves,118,124,3.24,,1.30,current
2026-06-06,Mandurah Magic,Lakeside Lightning,75,91,1.27,,3.42,current
2026-06-06,Rockingham Flames,East Perth Eagles,120,86,1.04,,8.48,current
2026-06-06,South West Slammers,Perry Lakes Hawks,88,92,4.11,,1.19,current
2026-06-05,East Perth Eagles,Kalamunda Eastern Suns,83,96,1.75,,2.01,current
2026-06-05,Joondalup Wolves,Warwick Senators,113,84,1.24,,3.60,current
2026-06-05,Perth Redbacks,South West Slammers,92,81,1.09,,6.08,current
2026-05-31,Geraldton Buccaneers,Warwick Senators,108,88,1.08,,6.32,current
2026-05-31,Willetton Tigers,Goldfields Giants,98,87,1.25,,3.58,current
2026-05-30,Kalamunda Eastern Suns,Perry Lakes Hawks,95,90,2.02,,1.73,current
2026-05-30,Lakeside Lightning,Rockingham Flames,85,110,9.67,,1.02,current
2026-05-30,Mandurah Magic,South West Slammers,98,89,1.02,,9.80,current
2026-05-29,Beeliar Boodjar,Joondalup Wolves,87,90,1.72,,2.00,current
2026-05-29,Warwick Senators,Mandurah Magic,104,96,2.92,,1.36,current
2026-05-23,Beeliar Boodjar,Perry Lakes Hawks,111,94,1.14,,4.74,current
2026-05-23,East Perth Eagles,Joondalup Wolves,87,99,2.14,,1.64,current
2026-05-23,Goldfields Giants,Kalamunda Eastern Suns,79,76,2.90,,1.37,current
2026-05-23,Perth Redbacks,Geraldton Buccaneers,89,112,6.83,,1.07,current
2026-05-23,Rockingham Flames,Warwick Senators,100,68,1.03,,9.17,current
2026-05-23,South West Slammers,Lakeside Lightning,77,99,3.06,,1.34,current
2026-05-22,Joondalup Wolves,Willetton Tigers,118,96,1.49,,2.43,current
2026-05-22,Mandurah Magic,Perth Redbacks,106,105,1.41,,2.71,current
2026-05-22,Perry Lakes Hawks,East Perth Eagles,91,83,3.10,,1.32,current
2026-05-16,Geraldton Buccaneers,South West Slammers,93,58,1.02,,11.46,current
2026-05-16,Joondalup Wolves,Goldfields Giants,96,67,1.05,,7.66,current
2026-05-16,Kalamunda Eastern Suns,Mandurah Magic,100,97,2.60,,1.44,current
2026-05-16,Warwick Senators,Beeliar Boodjar,85,112,3.94,,1.21,current
2026-05-16,Willetton Tigers,Rockingham Flames,100,115,3.73,,1.23,current
2026-05-15,Beeliar Boodjar,East Perth Eagles,107,94,1.64,,2.14,current
2026-05-15,Perry Lakes Hawks,Warwick Senators,108,116,1.46,,2.51,current
2026-05-15,Perth Redbacks,Lakeside Lightning,93,99,1.25,,3.54,current
2026-05-10,East Perth Eagles,Geraldton Buccaneers,74,102,1.58,,2.25,current
2026-05-09,Goldfields Giants,Perth Redbacks,103,107,1.81,,1.89,current
2026-05-09,Kalamunda Eastern Suns,East Perth Eagles,79,104,3.59,,1.25,current
2026-05-09,Rockingham Flames,Joondalup Wolves,114,93,1.44,,2.79,current
2026-05-09,South West Slammers,Mandurah Magic,83,106,3.30,,1.31,current
2026-05-09,Willetton Tigers,Geraldton Buccaneers,85,93,1.38,,2.82,current
2026-05-08,Lakeside Lightning,Perry Lakes Hawks,73,95,3.50,,1.25,current
2026-05-08,Mandurah Magic,Beeliar Boodjar,87,94,1.51,,2.40,current
2026-05-08,Warwick Senators,Willetton Tigers,90,110,3.75,,1.23,current
2026-05-02,Geraldton Buccaneers,Mandurah Magic,87,97,1.37,,2.91,current
2026-05-02,Goldfields Giants,Willetton Tigers,81,112,5.37,,1.12,current
2026-05-02,Perry Lakes Hawks,Perth Redbacks,101,103,1.29,,3.29,current
2026-05-02,South West Slammers,Joondalup Wolves,89,104,7.53,,1.06,current
2026-05-02,Warwick Senators,Rockingham Flames,81,113,5.81,,1.10,current
2026-05-01,Beeliar Boodjar,South West Slammers,103,76,1.09,,6.22,current
2026-05-01,East Perth Eagles,Warwick Senators,104,82,1.55,,2.31,current
2026-05-01,Joondalup Wolves,Lakeside Lightning,84,76,1.09,,6.12,current
2026-05-01,Rockingham Flames,Kalamunda Eastern Suns,91,94,1.02,,10.61,current
2026-04-26,Perry Lakes Hawks,Goldfields Giants,93,72,1.32,,3.07,current
2026-04-25,East Perth Eagles,Perry Lakes Hawks,98,100,1.43,,2.65,current
2026-04-25,Geraldton Buccaneers,Beeliar Boodjar,83,87,1.16,,5.03,current
2026-04-25,Kalamunda Eastern Suns,Willetton Tigers,87,99,3.54,,1.26,current
2026-04-25,Perth Redbacks,Goldfields Giants,104,110,1.42,,2.64,current
2026-04-25,Warwick Senators,Joondalup Wolves,103,89,2.74,,1.40,current
2026-04-24,Lakeside Lightning,Kalamunda Eastern Suns,76,90,2.56,,1.45,current
2026-04-24,Rockingham Flames,Mandurah Magic,119,95,1.02,,10.23,current
2026-04-24,Willetton Tigers,South West Slammers,115,96,1.02,,10.00,current
2026-04-19,Mandurah Magic,Geraldton Buccaneers,68,78,5.69,,1.10,current
2026-04-18,Goldfields Giants,Rockingham Flames,67,112,5.72,,1.10,current
2026-04-18,Perry Lakes Hawks,Lakeside Lightning,95,77,2.09,,1.67,current
2026-04-18,South West Slammers,Geraldton Buccaneers,83,87,12.09,,1.01,current
2026-04-18,Willetton Tigers,Mandurah Magic,97,96,1.07,,6.70,current
2026-04-17,Joondalup Wolves,East Perth Eagles,86,94,1.43,,2.61,current
2026-04-17,Kalamunda Eastern Suns,South West Slammers,91,76,1.07,,6.78,current
2026-04-17,Lakeside Lightning,Beeliar Boodjar,73,72,2.06,,1.69,current
2026-04-17,Perth Redbacks,Warwick Senators,93,76,3.24,,1.30,current
2026-04-11,Geraldton Buccaneers,Perry Lakes Hawks,101,91,1.03,,8.66,current
2026-04-11,Goldfields Giants,Lakeside Lightning,82,73,2.33,,1.55,current
2026-04-11,Joondalup Wolves,Beeliar Boodjar,102,80,1.10,,5.73,current
2026-04-11,Mandurah Magic,Kalamunda Eastern Suns,76,99,3.08,,1.32,current
2026-04-10,South West Slammers,Rockingham Flames,81,116,14.96,,1.01,current
2026-04-10,Warwick Senators,East Perth Eagles,75,94,2.89,,1.44,current
2026-04-04,East Perth Eagles,Mandurah Magic,113,98,1.18,,3.69,current
2026-04-04,Rockingham Flames,Lakeside Lightning,93,95,1.11,,5.97,current
2026-04-02,Beeliar Boodjar,Willetton Tigers,82,91,2.26,,1.57,current
2026-04-02,Kalamunda Eastern Suns,Warwick Senators,98,92,2.74,,1.41,current
2026-04-02,Perry Lakes Hawks,Joondalup Wolves,78,106,5.52,,1.11,current
2026-04-02,South West Slammers,Perth Redbacks,77,89,1.89,,1.83,current
2026-03-28,Goldfields Giants,South West Slammers,74,78,1.06,,7.29,current
2026-03-28,Lakeside Lightning,Joondalup Wolves,82,109,3.30,,1.32,current
2026-03-28,Willetton Tigers,East Perth Eagles,96,82,1.37,,2.84,current
2026-03-27,Kalamunda Eastern Suns,Lakeside Lightning,92,87,1.64,,2.14,current
2026-03-27,Mandurah Magic,Rockingham Flames,87,101,3.50,,1.27,current
2026-03-27,Perth Redbacks,Beeliar Boodjar,84,106,2.44,,1.50,current
2026-03-26,Warwick Senators,Perry Lakes Hawks,92,82,1.23,,3.77,current
